group_id,section_id,packet_slug,research_status,script_status,notebooklm_status,notebook_url,audio_status,message
group-020,9.5.6,09-05-06-carhart-harriss-entropic-brain-hypothesis,research_queued,source_script_queued,not_started,,not_started,
group-020,9.5.7,09-05-07-buzs-akis-neural-syntax-and-self-caused-rhythms,research_queued,source_script_queued,not_started,,not_started,
group-020,9.5.8,09-05-08-deacons-self-organized-constraint-and-emergence-of-self,research_queued,source_script_queued,not_started,,not_started,
group-020,9.5.9,09-05-09-pereiras-sentience,research_queued,source_script_queued,not_started,,not_started,
group-020,9.5.10,09-05-10-mansells-perceptual-control-theory,research_queued,source_script_queued,not_started,,not_started,
group-021,9.5.11,09-05-11-projective-consciousness-model,research_queued,source_script_queued,not_started,,not_started,
group-021,9.5.12,09-05-12-pepperells-organization-of-energy,research_queued,source_script_queued,not_started,,not_started,
group-022,9.6.1,09-06-01-embodied-cognition,research_queued,source_script_queued,not_started,,not_started,
group-022,9.6.2,09-06-02-enactivism,research_queued,source_script_queued,not_started,,not_started,
group-022,9.6.3,09-06-03-varelas-neurophenomenology,research_queued,source_script_queued,not_started,,not_started,
group-022,9.6.4,09-06-04-thompsons-mind-in-life,research_queued,source_script_queued,not_started,,not_started,
group-022,9.6.5,09-06-05-frank-gleiser-thompsons-the-blind-spot,research_queued,source_script_queued,not_started,,not_started,
group-023,9.6.6,09-06-06-bitbols-radical-neurophenomenology,research_queued,source_script_queued,not_started,,not_started,
group-023,9.6.7,09-06-07-direct-perception-theory,research_queued,source_script_queued,not_started,,not_started,
group-023,9.6.8,09-06-08-gibsons-ecological-psychology,research_queued,source_script_queued,not_started,,not_started,
group-024,9.7.1,09-07-01-a-clarks-extended-mind,research_queued,source_script_queued,not_started,,not_started,
group-024,9.7.2,09-07-02-no-es-out-of-our-heads-theory,research_queued,source_script_queued,not_started,,not_started,
group-024,9.7.3,09-07-03-looritss-structural-realism,research_queued,source_script_queued,not_started,,not_started,
group-024,9.7.4,09-07-04-lahavs-relativistic-theory,research_queued,source_script_queued,not_started,,not_started,
group-024,9.7.5,09-07-05-tsuchiyas-relational-approach-to-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-025,9.7.6,09-07-06-jaworskis-hylomorphism,research_queued,source_script_queued,not_started,,not_started,
group-025,9.7.7,09-07-07-process-theory,research_queued,source_script_queued,not_started,,not_started,
group-026,9.8.1,09-08-01-first-order-representationalism,research_queued,source_script_queued,not_started,,not_started,
group-026,9.8.2,09-08-02-lammes-recurrent-processing-theory,research_queued,source_script_queued,not_started,,not_started,
group-026,9.8.3,09-08-03-higher-order-theories,research_queued,source_script_queued,not_started,,not_started,
group-026,9.8.4,09-08-04-laus-perceptual-reality-monitoring-theory,research_queued,source_script_queued,not_started,,not_started,
group-026,9.8.5,09-08-05-ledouxs-higher-order-theory-of-emotional-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-027,9.8.6,09-08-06-humphreys-mental-representations-and-brain-attractors,research_queued,source_script_queued,not_started,,not_started,
group-027,9.8.7,09-08-07-metzingers-no-self-representational-theory-of-subjectivity,research_queued,source_script_queued,not_started,,not_started,
group-027,9.8.8,09-08-08-jacksons-diaphanous-representationalism-and-the-knowledge,research_queued,source_script_queued,not_started,,not_started,
group-027,9.8.9,09-08-09-lycans-homuncular-functionalism,research_queued,source_script_queued,not_started,,not_started,
group-027,9.8.10,09-08-10-transparency-theory,research_queued,source_script_queued,not_started,,not_started,
group-028,9.8.11,09-08-11-tyes-contingentism,research_queued,source_script_queued,not_started,,not_started,
group-028,9.8.12,09-08-12-thagards-neural-representation-binding-coherence-competition,research_queued,source_script_queued,not_started,,not_started,
group-028,9.8.13,09-08-13-t-clarks-content-hypothesis,research_queued,source_script_queued,not_started,,not_started,
group-028,9.8.14,09-08-14-deacons-symbolic-communication-human-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-029,9.9.1,09-09-01-chomskys-language-and-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-029,9.9.2,09-09-02-searles-language-and-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-029,9.9.3,09-09-03-kochs-consciousness-does-not-depend-on-language,research_queued,source_script_queued,not_started,,not_started,
group-029,9.9.4,09-09-04-smiths-language-as-classifier-of-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-029,9.9.5,09-09-05-jayness-breakdown-of-the-bicameral-mind,research_queued,source_script_queued,not_started,,not_started,
group-030,9.9.6,09-09-06-parringtons-language-and-tool-driven-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-031,9.10.1,09-10-01-dennetts-evolution-of-minds,research_queued,source_script_queued,not_started,,not_started,
group-031,9.10.2,09-10-02-ledouxs-deep-roots-of-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-031,9.10.3,09-10-03-ginsburg-and-jablonkas-associative-learning-during-evolution,research_queued,source_script_queued,not_started,,not_started,
group-031,9.10.4,09-10-04-cleeremans-and-tallon-baudrys-phenomenal-experience-has,research_queued,source_script_queued,not_started,,not_started,
group-031,9.10.5,09-10-05-andrews-consciousness-without-complex-brains,research_queued,source_script_queued,not_started,,not_started,
group-032,9.10.6,09-10-06-rebers-cellular-basis-of-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-032,9.10.7,09-10-07-feinberg-and-mallatts-ancient-origins-of-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-032,9.10.8,09-10-08-levins-technological-approach-to-mind-everywhere,research_queued,source_script_queued,not_started,,not_started,
group-032,9.10.9,09-10-09-no-hard-problem-in-william-jamess-psychology,research_queued,source_script_queued,not_started,,not_started,
group-033,10.1,10-01-elliss-strong-emergence-and-top-down-causation,research_queued,source_script_queued,not_started,,not_started,
group-033,10.2,10-02-murphys-non-reductive-physicalism,research_queued,source_script_queued,not_started,,not_started,
group-033,10.3,10-03-van-inwagens-christian-materialism-and-the-resurrection-of-the,research_queued,source_script_queued,not_started,,not_started,
group-033,10.4,10-04-nagasawas-nontheoretical-physicalism,research_queued,source_script_queued,not_started,,not_started,
group-033,10.5,10-05-sanfeys-abstract-realism,research_queued,source_script_queued,not_started,,not_started,
group-034,10.6,10-06-northoffs-non-reductive-neurophilosophy,research_queued,source_script_queued,not_started,,not_started,
group-035,11.1,11-01-penrose-hameroffs-orchestrated-objective-reduction,research_queued,source_script_queued,not_started,,not_started,
group-035,11.2,11-02-stapps-collapsing-the-wave-function-via-asking-questions,research_queued,source_script_queued,not_started,,not_started,
group-035,11.3,11-03-bohms-implicate-explicate-order,research_queued,source_script_queued,not_started,,not_started,
group-035,11.4,11-04-pylkk-anens-quantum-potential-energy-and-active-information,research_queued,source_script_queued,not_started,,not_started,
group-035,11.5,11-05-wolframs-consciousness-in-the-ruliad,research_queued,source_script_queued,not_started,,not_started,
group-036,11.6,11-06-beck-eccless-quantum-processes-in-the-synapse,research_queued,source_script_queued,not_started,,not_started,
group-036,11.7,11-07-kauffmans-mind-mediating-possibles-to-actuals,research_queued,source_script_queued,not_started,,not_started,
group-036,11.8,11-08-tordays-cellular-and-cosmic-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-036,11.9,11-09-smolins-causal-theory-of-views,research_queued,source_script_queued,not_started,,not_started,
group-036,11.10,11-10-carrs-quantum-theory-psi-mental-space,research_queued,source_script_queued,not_started,,not_started,
group-037,11.11,11-11-faggins-quantum-information-based-panpsychism,research_queued,source_script_queued,not_started,,not_started,
group-037,11.12,11-12-fishers-quantum-cognition,research_queued,source_script_queued,not_started,,not_started,
group-037,11.13,11-13-globuss-quantum-thermofield-brain-dynamics,research_queued,source_script_queued,not_started,,not_started,
group-037,11.14,11-14-poznanskis-dynamic-organicity-theory,research_queued,source_script_queued,not_started,,not_started,
group-037,11.15,11-15-quantum-consciousness-extensions,research_queued,source_script_queued,not_started,,not_started,
group-038,11.16,11-16-rovellis-relational-physics,research_queued,source_script_queued,not_started,,not_started,
group-039,12.1,12-01-critiques-of-integrated-information-theory,research_queued,source_script_queued,not_started,,not_started,
group-039,12.2,12-02-koch-compares-integrated-information-theory-with-panpsychism,research_queued,source_script_queued,not_started,,not_started,
group-040,13.1,13-01-micropsychism,research_queued,source_script_queued,not_started,,not_started,
group-040,13.2,13-02-panprotopsychism,research_queued,source_script_queued,not_started,,not_started,
group-040,13.3,13-03-cosmopsychism,research_queued,source_script_queued,not_started,,not_started,
group-040,13.4,13-04-qualia-force,research_queued,source_script_queued,not_started,,not_started,
group-040,13.5,13-05-qualia-space,research_queued,source_script_queued,not_started,,not_started,
group-041,13.6,13-06-chalmerss-panpsychism,research_queued,source_script_queued,not_started,,not_started,
group-041,13.7,13-07-strawsons-panpsychism,research_queued,source_script_queued,not_started,,not_started,
group-041,13.8,13-08-goffs-panpsychism,research_queued,source_script_queued,not_started,,not_started,
group-041,13.9,13-09-a-harriss-panpsychism-as-fundamental-field,research_queued,source_script_queued,not_started,,not_started,
group-041,13.10,13-10-sheldrakes-self-organizing-systems-at-all-levels-of-complexity,research_queued,source_script_queued,not_started,,not_started,
group-042,13.11,13-11-wallaces-panpsychism-inside-physics,research_queued,source_script_queued,not_started,,not_started,
group-042,13.12,13-12-whiteheads-process-theory,research_queued,source_script_queued,not_started,,not_started,
group-043,14.1,14-01-russellian-monism,research_queued,source_script_queued,not_started,,not_started,
group-043,14.2,14-02-davidsons-anomalous-monism,research_queued,source_script_queued,not_started,,not_started,
group-043,14.3,14-03-velmanss-reflexive-monism,research_queued,source_script_queued,not_started,,not_started,
group-043,14.4,14-04-strawsons-realistic-monism-and-real-materialism,research_queued,source_script_queued,not_started,,not_started,
group-043,14.5,14-05-polkinghornes-dual-aspect-monism,research_queued,source_script_queued,not_started,,not_started,
group-044,14.6,14-06-teilhard-de-cardins-evolving-consciousness,research_queued,source_script_queued,not_started,,not_started,
group-044,14.7,14-07-atmanspachers-dual-aspect-monism,research_queued,source_script_queued,not_started,,not_started,
group-044,14.8,14-08-ramachandrans-new-physics-and-neuroscience,research_queued,source_script_queued,not_started,,not_started,
group-044,14.9,14-09-tegmarks-state-of-matter,research_queued,source_script_queued,not_started,,not_started,
group-044,14.10,14-10-qualia-research-institutes-state-space-qualia-formalism-valence,research_queued,source_script_queued,not_started,,not_started,
group-045,14.11,14-11-bentley-harts-monism-consciousness-being-god,research_queued,source_script_queued,not_started,,not_started,
group-045,14.12,14-12-leslies-consciousness-inside-an-infinite-mind,research_queued,source_script_queued,not_started,,not_started,
group-046,15.1,15-01-property-dualism,research_queued,source_script_queued,not_started,,not_started,
group-046,15.2,15-02-historical-and-traditional-dualisms,research_queued,source_script_queued,not_started,,not_started,
group-046,15.3,15-03-swinburnes-substance-dualism,research_queued,source_script_queued,not_started,,not_started,
group-046,15.4,15-04-composite-dualism,research_queued,source_script_queued,not_started,,not_started,
group-046,15.5,15-05-stumps-thomistic-dualism,research_queued,source_script_queued,not_started,,not_started,
group-047,15.6,15-06-fesers-neo-thomistic-neo-aristotelian-common-sense-dualism,research_queued,source_script_queued,not_started,,not_started,
group-047,15.7,15-07-morelands-christian-soul,research_queued,source_script_queued,not_started,,not_started,
group-047,15.8,15-08-interactive-dualism,research_queued,source_script_queued,not_started,,not_started,
group-047,15.9,15-09-emergent-dualism,research_queued,source_script_queued,not_started,,not_started,
